test_case,additional_coverage
"RegressionTest0::test105",8
"SubLineTest::testIntersectionInsideInside",4
"SubLine_ESTest::test2",3
"RegressionTest0::test033",2
"SubLine_ESTest::test4",1
"SubLine_ESTest::test09",1
"RegressionTest0::test251",0
"RegressionTest0::test306",0
"RegressionTest0::test394",0
"RegressionTest0::test413",0
"SubLine_ESTest::test16",0
"SubLine_ESTest::test17",0
"SubLineTest::testIntersectionInsideBoundary",0
"SubLineTest::testIntersectionInsideOutside",0
"SubLineTest::testIntersectionBoundaryBoundary",0
"SubLineTest::testIntersectionBoundaryOutside",0
"SubLineTest::testIntersectionOutsideOutside",0
"RegressionTest0::test109",0
"RegressionTest0::test157",0
"RegressionTest0::test183",0
"RegressionTest0::test187",0
"RegressionTest0::test268",0
"RegressionTest0::test273",0
"RegressionTest0::test297",0
"RegressionTest0::test320",0
"RegressionTest0::test326",0
"RegressionTest0::test369",0
"RegressionTest0::test380",0
"RegressionTest0::test387",0
"SubLine_ESTest::test5",0
"SubLine_ESTest::test6",0
"SubLine_ESTest::test7",0
"SubLine_ESTest::test8",0
"SubLine_ESTest::test02",0
"SubLine_ESTest::test04",0
"SubLine_ESTest::test05",0
"SubLine_ESTest::test06",0
"SubLine_ESTest::test07",0
"SubLine_ESTest::test08",0
"SubLineTest::testEndPoints",0
"SubLineTest::testNoEndPoints",0
"SubLineTest::testNoSegments",0
"SubLineTest::testSeveralSegments",0
"SubLineTest::testHalfInfiniteNeg",0
"SubLineTest::testHalfInfinitePos",0
"RegressionTest0::test039",0
"RegressionTest0::test044",0
"RegressionTest0::test062",0
"RegressionTest0::test075",0
"RegressionTest0::test112",0
"RegressionTest0::test113",0
"RegressionTest0::test124",0
"RegressionTest0::test139",0
"RegressionTest0::test141",0
"RegressionTest0::test143",0
"RegressionTest0::test172",0
"RegressionTest0::test173",0
"RegressionTest0::test178",0
"RegressionTest0::test182",0
"RegressionTest0::test189",0
"RegressionTest0::test191",0
"RegressionTest0::test192",0
"RegressionTest0::test198",0
"RegressionTest0::test204",0
"RegressionTest0::test207",0
"RegressionTest0::test216",0
"RegressionTest0::test219",0
"RegressionTest0::test225",0
"RegressionTest0::test228",0
"RegressionTest0::test235",0
"RegressionTest0::test254",0
"RegressionTest0::test265",0
"RegressionTest0::test271",0
"RegressionTest0::test281",0
"RegressionTest0::test298",0
"RegressionTest0::test299",0
"RegressionTest0::test304",0
"RegressionTest0::test311",0
"RegressionTest0::test312",0
"RegressionTest0::test315",0
"RegressionTest0::test331",0
"RegressionTest0::test335",0
"RegressionTest0::test344",0
"RegressionTest0::test345",0
"RegressionTest0::test347",0
"RegressionTest0::test353",0
"RegressionTest0::test355",0
"RegressionTest0::test357",0
"RegressionTest0::test365",0
"RegressionTest0::test378",0
"RegressionTest0::test382",0
"RegressionTest0::test399",0
"RegressionTest0::test403",0
"RegressionTest0::test412",0
"RegressionTest0::test414",0
"RegressionTest0::test416",0
"RegressionTest0::test419",0
"RegressionTest0::test420",0
"SubLine_ESTest::test01",0
"SubLine_ESTest::test10",0
"SubLine_ESTest::test11",0
"SubLine_ESTest::test12",0
"SubLine_ESTest::test13",0
"SubLine_ESTest::test14",0
"SubLine_ESTest::test15",0
"SubLineTest::testIntersectionNotIntersecting",0
"SubLine_ESTest::test3",0
"RegressionTest0::test040",0
"RegressionTest0::test049",0
"RegressionTest0::test099",0
"RegressionTest0::test120",0
"RegressionTest0::test374",0
"SubLineTest::testIntersectionParallel",0
"SubLine_ESTest::test03",0
"LineTest::testSimilar",0
"LineTest::testPointDistance",0
"LineTest::testLineDistance",0
"LineTest::testClosest",0
"LineTest::testIntersection",0
"LineTest::testRevert",0
"SubLine_ESTest::test0",0
"SubLine_ESTest::test1",0
"LineTest::testContains",0
"LineTest::testAbscissa",0
"LineTest::testOffset",0
"LineTest::testDistance",0
"LineTest::testPointAt",0
"LineTest::testOriginOffset",0
"LineTest::testParallel",0
"LineTest::testTransform",0
"RegressionTest0::test001",0
"RegressionTest0::test002",0
"RegressionTest0::test003",0
"RegressionTest0::test004",0
"RegressionTest0::test005",0
"RegressionTest0::test006",0
"RegressionTest0::test007",0
"RegressionTest0::test008",0
"RegressionTest0::test009",0
"RegressionTest0::test010",0
"RegressionTest0::test011",0
"RegressionTest0::test012",0
"RegressionTest0::test013",0
"RegressionTest0::test014",0
"RegressionTest0::test015",0
"RegressionTest0::test016",0
"RegressionTest0::test017",0
"RegressionTest0::test018",0
"RegressionTest0::test019",0
"RegressionTest0::test020",0
"RegressionTest0::test021",0
"RegressionTest0::test022",0
"RegressionTest0::test023",0
"RegressionTest0::test024",0
"RegressionTest0::test025",0
"RegressionTest0::test026",0
"RegressionTest0::test027",0
"RegressionTest0::test028",0
"RegressionTest0::test029",0
"RegressionTest0::test030",0
"RegressionTest0::test031",0
"RegressionTest0::test032",0
"RegressionTest0::test034",0
"RegressionTest0::test035",0
"RegressionTest0::test036",0
"RegressionTest0::test037",0
"RegressionTest0::test038",0
"RegressionTest0::test041",0
"RegressionTest0::test042",0
"RegressionTest0::test043",0
"RegressionTest0::test045",0
"RegressionTest0::test046",0
"RegressionTest0::test047",0
"RegressionTest0::test048",0
"RegressionTest0::test050",0
"RegressionTest0::test051",0
"RegressionTest0::test052",0
"RegressionTest0::test053",0
"RegressionTest0::test054",0
"RegressionTest0::test055",0
"RegressionTest0::test056",0
"RegressionTest0::test057",0
"RegressionTest0::test058",0
"RegressionTest0::test059",0
"RegressionTest0::test060",0
"RegressionTest0::test061",0
"RegressionTest0::test063",0
"RegressionTest0::test064",0
"RegressionTest0::test065",0
"RegressionTest0::test066",0
"RegressionTest0::test067",0
"RegressionTest0::test068",0
"RegressionTest0::test069",0
"RegressionTest0::test070",0
"RegressionTest0::test071",0
"RegressionTest0::test072",0
"RegressionTest0::test073",0
"RegressionTest0::test074",0
"RegressionTest0::test076",0
"RegressionTest0::test077",0
"RegressionTest0::test078",0
"RegressionTest0::test079",0
"RegressionTest0::test080",0
"RegressionTest0::test081",0
"RegressionTest0::test082",0
"RegressionTest0::test083",0
"RegressionTest0::test084",0
"RegressionTest0::test085",0
"RegressionTest0::test086",0
"RegressionTest0::test087",0
"RegressionTest0::test088",0
"RegressionTest0::test089",0
"RegressionTest0::test090",0
"RegressionTest0::test091",0
"RegressionTest0::test092",0
"RegressionTest0::test093",0
"RegressionTest0::test094",0
"RegressionTest0::test095",0
"RegressionTest0::test096",0
"RegressionTest0::test097",0
"RegressionTest0::test098",0
"RegressionTest0::test100",0
"RegressionTest0::test101",0
"RegressionTest0::test102",0
"RegressionTest0::test103",0
"RegressionTest0::test104",0
"RegressionTest0::test106",0
"RegressionTest0::test107",0
"RegressionTest0::test108",0
"RegressionTest0::test110",0
"RegressionTest0::test111",0
"RegressionTest0::test114",0
"RegressionTest0::test115",0
"RegressionTest0::test116",0
"RegressionTest0::test117",0
"RegressionTest0::test118",0
"RegressionTest0::test119",0
"RegressionTest0::test121",0
"RegressionTest0::test122",0
"RegressionTest0::test123",0
"RegressionTest0::test125",0
"RegressionTest0::test126",0
