"test_case","branch_coverage"
"RegressionTest0::test105",8.0
"RegressionTest0::test413",6.0
"RegressionTest0::test251",6.0
"RegressionTest0::test306",6.0
"RegressionTest0::test394",6.0
"RegressionTest0::test033",6.0
"SubLine_ESTest::test17",5.0
"SubLine_ESTest::test16",5.0
"SubLineTest::testIntersectionInsideBoundary",4.0
"RegressionTest0::test109",4.0
"SubLineTest::testIntersectionBoundaryBoundary",4.0
"RegressionTest0::test369",4.0
"SubLineTest::testIntersectionInsideInside",4.0
"SubLineTest::testIntersectionBoundaryOutside",4.0
"RegressionTest0::test380",4.0
"RegressionTest0::test320",4.0
"RegressionTest0::test326",4.0
"RegressionTest0::test187",4.0
"RegressionTest0::test387",4.0
"RegressionTest0::test268",4.0
"RegressionTest0::test273",4.0
"RegressionTest0::test157",4.0
"RegressionTest0::test297",4.0
"RegressionTest0::test183",4.0
"SubLineTest::testIntersectionOutsideOutside",4.0
"SubLineTest::testIntersectionInsideOutside",4.0
"SubLine_ESTest::test02",3.0
"SubLine_ESTest::test08",3.0
"SubLine_ESTest::test07",3.0
"SubLine_ESTest::test04",3.0
"SubLine_ESTest::test06",3.0
"SubLine_ESTest::test05",3.0
"SubLine_ESTest::test4",3.0
"SubLine_ESTest::test2",3.0
"SubLine_ESTest::test8",3.0
"SubLine_ESTest::test7",3.0
"SubLine_ESTest::test6",3.0
"SubLine_ESTest::test5",3.0
"RegressionTest0::test403",2.0
"RegressionTest0::test412",2.0
"RegressionTest0::test416",2.0
"RegressionTest0::test414",2.0
"RegressionTest0::test419",2.0
"RegressionTest0::test225",2.0
"SubLine_ESTest::test15",2.0
"RegressionTest0::test347",2.0
"SubLine_ESTest::test14",2.0
"RegressionTest0::test344",2.0
"RegressionTest0::test345",2.0
"RegressionTest0::test228",2.0
"RegressionTest0::test353",2.0
"RegressionTest0::test112",2.0
"RegressionTest0::test357",2.0
"RegressionTest0::test113",2.0
"RegressionTest0::test355",2.0
"RegressionTest0::test235",2.0
"RegressionTest0::test365",2.0
"RegressionTest0::test124",2.0
"SubLine_ESTest::test01",2.0
"RegressionTest0::test254",2.0
"SubLine_ESTest::test09",2.0
"RegressionTest0::test378",2.0
"RegressionTest0::test139",2.0
"SubLine_ESTest::test11",2.0
"SubLine_ESTest::test10",2.0
"SubLine_ESTest::test13",2.0
"SubLine_ESTest::test12",2.0
"RegressionTest0::test382",2.0
"RegressionTest0::test141",2.0
"RegressionTest0::test420",2.0
"RegressionTest0::test304",2.0
"RegressionTest0::test311",2.0
"RegressionTest0::test312",2.0
"RegressionTest0::test315",2.0
"RegressionTest0::test204",2.0
"RegressionTest0::test207",2.0
"SubLineTest::testHalfInfinitePos",2.0
"RegressionTest0::test331",2.0
"RegressionTest0::test335",2.0
"RegressionTest0::test219",2.0
"RegressionTest0::test216",2.0
"RegressionTest0::test189",2.0
"SubLineTest::testSeveralSegments",2.0
"RegressionTest0::test191",2.0
"RegressionTest0::test192",2.0
"SubLineTest::testNoSegments",2.0
"RegressionTest0::test075",2.0
"RegressionTest0::test198",2.0
"RegressionTest0::test265",2.0
"RegressionTest0::test143",2.0
"SubLineTest::testHalfInfiniteNeg",2.0
"SubLineTest::testNoEndPoints",2.0
"RegressionTest0::test271",2.0
"RegressionTest0::test039",2.0
"RegressionTest0::test399",2.0
"RegressionTest0::test281",2.0
"SubLineTest::testEndPoints",2.0
"RegressionTest0::test044",2.0
"RegressionTest0::test173",2.0
"RegressionTest0::test172",2.0
"RegressionTest0::test298",2.0
"RegressionTest0::test178",2.0
"RegressionTest0::test299",2.0
"RegressionTest0::test182",2.0
"RegressionTest0::test062",2.0
"RegressionTest0::test120",1.0
"RegressionTest0::test374",1.0
"SubLine_ESTest::test03",1.0
"RegressionTest0::test099",1.0
"RegressionTest0::test040",1.0
"RegressionTest0::test049",1.0
"SubLineTest::testIntersectionParallel",1.0
"SubLineTest::testIntersectionNotIntersecting",1.0
"SubLine_ESTest::test3",1.0
"LineTest::testIntersection",0.0
"LineTest::testPointAt",0.0
"RegressionTest0::test401",0.0
"RegressionTest0::test402",0.0
"RegressionTest0::test400",0.0
"RegressionTest0::test405",0.0
"RegressionTest0::test406",0.0
"RegressionTest0::test404",0.0
"RegressionTest0::test409",0.0
"RegressionTest0::test407",0.0
"RegressionTest0::test408",0.0
"RegressionTest0::test410",0.0
"RegressionTest0::test411",0.0
"RegressionTest0::test417",0.0
"RegressionTest0::test415",0.0
"RegressionTest0::test418",0.0
"LineTest::testDistance",0.0
"RegressionTest0::test100",0.0
"RegressionTest0::test221",0.0
