test_case,covered_branches
"RegressionTest1::test0941",29
"RegressionTest2::test1259",28
"RegressionTest2::test1429",28
"RegressionTest2::test1141",27
"RegressionTest2::test1143",27
"RegressionTest2::test1295",27
"RegressionTest2::test1072",26
"RegressionTest2::test1095",26
"RegressionTest2::test1227",26
"RegressionTest2::test1340",26
"RegressionTest0::test0258",26
"RegressionTest1::test0885",26
"RegressionTest2::test1042",25
"RegressionTest2::test1048",25
"RegressionTest2::test1156",25
"RegressionTest2::test1188",25
"RegressionTest1::test0627",25
"RegressionTest1::test0733",25
"RegressionTest1::test0958",25
"RegressionTest2::test1085",24
"RegressionTest2::test1208",24
"RegressionTest2::test1427",24
"RegressionTest0::test0462",24
"RegressionTest1::test0689",24
"RegressionTest1::test0731",24
"RegressionTest1::test0773",24
"RegressionTest1::test0821",24
"RegressionTest2::test1305",23
"RegressionTest2::test1327",23
"RegressionTest2::test1392",23
"RegressionTest1::test0691",23
"RegressionTest1::test0721",23
"RegressionTest1::test0817",23
"RegressionTest1::test0828",23
"RegressionTest1::test0996",23
"RegressionTest2::test1133",22
"RegressionTest2::test1179",22
"RegressionTest2::test1181",22
"RegressionTest2::test1303",22
"RegressionTest1::test0514",22
"RegressionTest1::test0604",22
"RegressionTest1::test0619",22
"RegressionTest1::test0623",22
"RegressionTest1::test0660",22
"RegressionTest1::test0681",22
"RegressionTest1::test0744",22
"RegressionTest1::test0745",22
"RegressionTest1::test0956",22
"RegressionTest2::test1075",21
"RegressionTest2::test1088",21
"RegressionTest2::test1108",21
"RegressionTest2::test1135",21
"RegressionTest2::test1172",21
"RegressionTest2::test1217",21
"RegressionTest2::test1239",21
"RegressionTest2::test1283",21
"RegressionTest2::test1321",21
"RegressionTest2::test1336",21
"RegressionTest2::test1395",21
"RegressionTest0::test0243",21
"RegressionTest0::test0351",21
"RegressionTest0::test0392",21
"RegressionTest1::test0503",21
"RegressionTest1::test0505",21
"RegressionTest1::test0594",21
"RegressionTest1::test0616",21
"RegressionTest1::test0815",21
"RegressionTest1::test0875",21
"RegressionTest1::test0991",21
"RegressionTest1::test0995",21
"RegressionTest2::test1014",20
"RegressionTest2::test1020",20
"RegressionTest2::test1081",20
"RegressionTest2::test1092",20
"RegressionTest2::test1119",20
"RegressionTest2::test1166",20
"RegressionTest2::test1202",20
"RegressionTest2::test1205",20
"RegressionTest2::test1210",20
"RegressionTest2::test1234",20
"RegressionTest2::test1235",20
"RegressionTest2::test1236",20
"RegressionTest2::test1282",20
"RegressionTest2::test1285",20
"RegressionTest2::test1352",20
"RegressionTest2::test1388",20
"RegressionTest2::test1390",20
"RegressionTest2::test1424",20
"RegressionTest0::test0380",20
"RegressionTest0::test0395",20
"RegressionTest0::test0465",20
"RegressionTest0::test0476",20
"RegressionTest1::test0588",20
"RegressionTest1::test0739",20
"RegressionTest1::test0758",20
"RegressionTest1::test0768",20
"RegressionTest1::test0781",20
"RegressionTest1::test0797",20
"RegressionTest1::test0830",20
"RegressionTest1::test0843",20
"RegressionTest1::test0844",20
"RegressionTest1::test0849",20
"RegressionTest1::test0854",20
"RegressionTest1::test0860",20
"RegressionTest1::test0865",20
"RegressionTest1::test0867",20
"RegressionTest1::test0886",20
"RegressionTest1::test0889",20
"RegressionTest1::test0912",20
"RegressionTest1::test0921",20
"RegressionTest1::test0923",20
"RegressionTest1::test0929",20
"RegressionTest1::test0952",20
"RegressionTest1::test0978",20
"Fraction_ESTest::test38",20
"RegressionTest2::test1036",19
"RegressionTest2::test1125",19
"RegressionTest2::test1229",19
"RegressionTest2::test1249",19
"RegressionTest2::test1277",19
"RegressionTest2::test1364",19
"RegressionTest0::test0415",19
"RegressionTest0::test0444",19
"RegressionTest1::test0953",19
"RegressionTest1::test0960",19
"RegressionTest2::test1256",18
"RegressionTest0::test0303",18
"RegressionTest0::test0433",18
"RegressionTest0::test0472",18
"RegressionTest1::test0743",18
"RegressionTest2::test1009",17
"RegressionTest2::test1082",17
"RegressionTest2::test1114",17
"RegressionTest2::test1154",17
"RegressionTest2::test1164",17
"RegressionTest2::test1271",17
"RegressionTest2::test1338",17
"RegressionTest2::test1400",17
"RegressionTest0::test0310",17
"RegressionTest0::test0312",17
"RegressionTest0::test0430",17
"RegressionTest1::test0593",17
"RegressionTest1::test0719",17
"RegressionTest1::test0792",17
"RegressionTest1::test0813",17
"RegressionTest1::test0820",17
"RegressionTest1::test0823",17
"RegressionTest1::test0905",17
"RegressionTest2::test1098",16
"RegressionTest2::test1101",16
"RegressionTest2::test1220",16
"RegressionTest2::test1385",16
"RegressionTest0::test0051",16
"RegressionTest0::test0261",16
"RegressionTest0::test0292",16
"RegressionTest0::test0361",16
"RegressionTest0::test0370",16
"RegressionTest0::test0492",16
"RegressionTest1::test0557",16
"RegressionTest1::test0559",16
"RegressionTest1::test0613",16
"RegressionTest1::test0639",16
"RegressionTest1::test0748",16
"RegressionTest1::test0764",16
"RegressionTest1::test0791",16
"RegressionTest1::test0799",16
"RegressionTest1::test0835",16
"RegressionTest1::test0848",16
"RegressionTest1::test0883",16
"RegressionTest1::test0937",16
"RegressionTest1::test0968",16
"RegressionTest1::test0976",16
"RegressionTest2::test1090",15
"RegressionTest2::test1109",15
"RegressionTest2::test1147",15
"RegressionTest2::test1160",15
"RegressionTest2::test1209",15
"RegressionTest2::test1301",15
"RegressionTest2::test1325",15
"RegressionTest2::test1384",15
"RegressionTest2::test1387",15
"RegressionTest0::test0085",15
"RegressionTest0::test0210",15
"RegressionTest0::test0497",15
"RegressionTest0::test0498",15
"RegressionTest1::test0722",15
"RegressionTest1::test0891",15
"RegressionTest1::test0964",15
"RegressionTest1::test0969",15
"Fraction_ESTest::test42",15
"RegressionTest2::test1149",14
"RegressionTest2::test1241",14
"RegressionTest2::test1262",14
"RegressionTest2::test1389",14
"FractionTest::testSerial",14
"RegressionTest1::test0563",14
"RegressionTest1::test0608",14
"RegressionTest1::test0798",14
"RegressionTest2::test1025",13
"RegressionTest2::test1027",13
"RegressionTest2::test1032",13
"RegressionTest2::test1037",13
"RegressionTest2::test1077",13
"RegressionTest2::test1083",13
"RegressionTest2::test1117",13
"RegressionTest2::test1260",13
"RegressionTest2::test1330",13
"RegressionTest2::test1366",13
"RegressionTest0::test0334",13
"FractionTest::testDivide",13
"FractionTest::testSubtract",13
"RegressionTest1::test0578",13
"RegressionTest1::test0723",13
"RegressionTest1::test0727",13
"RegressionTest1::test0729",13
"RegressionTest1::test0761",13
"RegressionTest1::test0766",13
"RegressionTest1::test0851",13
"RegressionTest1::test0869",13
"RegressionTest1::test0890",13
"RegressionTest1::test0920",13
"RegressionTest1::test0954",13
"RegressionTest1::test0980",13
"RegressionTest1::test0987",13
"RegressionTest2::test1016",12
"RegressionTest2::test1034",12
"RegressionTest2::test1039",12
"RegressionTest2::test1357",12
"RegressionTest2::test1393",12
"RegressionTest0::test0081",12
"RegressionTest0::test0171",12
"RegressionTest0::test0234",12
"RegressionTest0::test0277",12
"RegressionTest0::test0285",12
"RegressionTest0::test0298",12
"FractionTest::testConstructor",12
"FractionTest::testAdd",12
"FractionTest::testGetReducedFraction",12
"RegressionTest1::test0549",12
"RegressionTest1::test0556",12
"RegressionTest1::test0599",12
"RegressionTest1::test0946",12
"RegressionTest2::test1002",11
"RegressionTest2::test1024",11
"RegressionTest2::test1053",11
"RegressionTest2::test1099",11
"RegressionTest2::test1139",11
"RegressionTest2::test1163",11
"RegressionTest2::test1183",11
"RegressionTest2::test1192",11
"RegressionTest2::test1230",11
"RegressionTest2::test1275",11
"RegressionTest2::test1318",11
"RegressionTest2::test1346",11
"RegressionTest2::test1373",11
"RegressionTest2::test1408",11
"RegressionTest2::test1417",11
"RegressionTest0::test0200",11
"RegressionTest0::test0248",11
"RegressionTest0::test0273",11
"RegressionTest0::test0290",11
"RegressionTest0::test0300",11
"RegressionTest0::test0323",11
"RegressionTest0::test0360",11
"RegressionTest0::test0417",11
"RegressionTest0::test0467",11
"FractionTest::testDoubleConstructor",11
"FractionTest::testDigitLimitConstructor",11
"FractionTest::testEpsilonLimitConstructor",11
"FractionTest::testConstructorDouble",11
"FractionFormatTest::testDoubleFormat",11
"RegressionTest1::test0517",11
"RegressionTest1::test0527",11
"RegressionTest1::test0648",11
"RegressionTest1::test0653",11
"RegressionTest1::test0712",11
"RegressionTest1::test0810",11
"RegressionTest1::test0907",11
"RegressionTest1::test0933",11
"Fraction_ESTest::test16",11
"Fraction_ESTest::test21",11
"Fraction_ESTest::test40",11
"Fraction_ESTest::test41",11
"RegressionTest2::test1003",10
"RegressionTest2::test1046",10
"RegressionTest2::test1057",10
"RegressionTest2::test1107",10
"RegressionTest2::test1199",10
"RegressionTest2::test1211",10
"RegressionTest2::test1218",10
