Class::Test,HelpFormatter:35, HelpFormatter:74, HelpFormatter:82, HelpFormatter:91, HelpFormatter:99, HelpFormatter:107, HelpFormatter:115, HelpFormatter:123, HelpFormatter:126, HelpFormatter:134, HelpFormatter:141, HelpFormatter:150, HelpFormatter:151, HelpFormatter:160, HelpFormatter:170, HelpFormatter:171, HelpFormatter:180, HelpFormatter:190, HelpFormatter:191, HelpFormatter:200, HelpFormatter:210, HelpFormatter:211, HelpFormatter:220, HelpFormatter:230, HelpFormatter:231, HelpFormatter:240, HelpFormatter:250, HelpFormatter:251, HelpFormatter:260, HelpFormatter:270, HelpFormatter:271, HelpFormatter:280, HelpFormatter:293, HelpFormatter:294, HelpFormatter:304, HelpFormatter:314, HelpFormatter:315, HelpFormatter:324, HelpFormatter:335, HelpFormatter:346, HelpFormatter:348, HelpFormatter:352, HelpFormatter:354, HelpFormatter:366, HelpFormatter:367, HelpFormatter:381, HelpFormatter:382, HelpFormatter:396, HelpFormatter:397, HelpFormatter:413, HelpFormatter:414, HelpFormatter:429, HelpFormatter:430, HelpFormatter:448, HelpFormatter:450, HelpFormatter:451, HelpFormatter:452, HelpFormatter:475, HelpFormatter:476, HelpFormatter:502, HelpFormatter:504, HelpFormatter:507, HelpFormatter:509, HelpFormatter:513, HelpFormatter:516, HelpFormatter:518, HelpFormatter:521, HelpFormatter:523, HelpFormatter:525, HelpFormatter:527, HelpFormatter:540, HelpFormatter:543, HelpFormatter:548, HelpFormatter:549, HelpFormatter:551, HelpFormatter:554, HelpFormatter:557, HelpFormatter:560, HelpFormatter:563, HelpFormatter:566, HelpFormatter:570, HelpFormatter:580, HelpFormatter:583, HelpFormatter:585, HelpFormatter:587, HelpFormatter:591, HelpFormatter:592, HelpFormatter:604, HelpFormatter:606, HelpFormatter:609, HelpFormatter:610, HelpFormatter:612, HelpFormatter:615, HelpFormatter:617, HelpFormatter:619, HelpFormatter:623, HelpFormatter:625, HelpFormatter:627, HelpFormatter:638, HelpFormatter:640, HelpFormatter:643, HelpFormatter:645, HelpFormatter:649, HelpFormatter:653, HelpFormatter:655, HelpFormatter:656, HelpFormatter:660, HelpFormatter:662, HelpFormatter:664, HelpFormatter:676, HelpFormatter:678, HelpFormatter:679, HelpFormatter:696, HelpFormatter:698, HelpFormatter:699, HelpFormatter:700, HelpFormatter:711, HelpFormatter:712, HelpFormatter:724, HelpFormatter:726, HelpFormatter:727, HelpFormatter:728, HelpFormatter:748, HelpFormatter:749, HelpFormatter:755, HelpFormatter:757, HelpFormatter:759, HelpFormatter:761, HelpFormatter:763, HelpFormatter:765, HelpFormatter:766, HelpFormatter:768, HelpFormatter:770, HelpFormatter:774, HelpFormatter:776, HelpFormatter:778, HelpFormatter:782, HelpFormatter:784, HelpFormatter:785, HelpFormatter:788, HelpFormatter:792, HelpFormatter:793, HelpFormatter:797, HelpFormatter:798, HelpFormatter:799, HelpFormatter:801, HelpFormatter:803, HelpFormatter:805, HelpFormatter:806, HelpFormatter:808, HelpFormatter:810, HelpFormatter:813, HelpFormatter:815, HelpFormatter:817, HelpFormatter:819, HelpFormatter:822, HelpFormatter:824, HelpFormatter:826, HelpFormatter:828, HelpFormatter:830, HelpFormatter:847, HelpFormatter:849, HelpFormatter:851, HelpFormatter:853, HelpFormatter:855, HelpFormatter:857, HelpFormatter:860, HelpFormatter:865, HelpFormatter:869, HelpFormatter:870, HelpFormatter:872, HelpFormatter:874, HelpFormatter:876, HelpFormatter:879, HelpFormatter:881, HelpFormatter:884, HelpFormatter:903, HelpFormatter:906, HelpFormatter:907, HelpFormatter:909, HelpFormatter:911, HelpFormatter:913, HelpFormatter:918, HelpFormatter:922, HelpFormatter:925, HelpFormatter:929, HelpFormatter:931, HelpFormatter:936, HelpFormatter:938, HelpFormatter:941, HelpFormatter:944, HelpFormatter:956, HelpFormatter:958, HelpFormatter:960, HelpFormatter:963, HelpFormatter:975, HelpFormatter:977, HelpFormatter:980, HelpFormatter:982, HelpFormatter:984, HelpFormatter:987, HelpFormatter:1013, HelpFormatter:1014, HelpFormatter:1016, Option:69, Option:75, Option:91, Option:92, Option:106, Option:107, Option:122, Option:124, Option:126, Option:127, Option:130, Option:132, Option:135, Option:136, Option:147, Option:158, Option:160, Option:163, Option:178, Option:188, Option:198, Option:199, Option:208, Option:218, Option:219, Option:229, Option:230, Option:237, Option:247, Option:257, Option:267, Option:278, Option:279, Option:288, Option:298, Option:299, Option:308, Option:309, Option:318, Option:328, Option:338, Option:348, Option:349, Option:359, Option:360, Option:369, Option:380, Option:390, Option:400, Option:403, Option:406, Option:408, Option:424, Option:427, Option:430, Option:433, Option:436, Option:438, Option:442, Option:445, Option:448, Option:453, Option:454, Option:467, Option:469, Option:473, Option:474, Option:485, Option:502, Option:517, Option:519, Option:531, Option:540, Option:550, Option:552, Option:554, Option:556, Option:559, Option:561, Option:563, Option:565, Option:567, Option:570, Option:572, Option:574, Option:577, Option:579, Option:589, Option:594, Option:596, Option:598, Option:600, Option:603, Option:606, Option:608, Option:610, Option:612, Option:615, Option:621, Option:622, Option:623, Option:640, Option:641, Option:642, Option:644, Option:646, Option:658, Option:659, Option:669, Option:681, Option:692, Option:694, Option:696, Option:698, Option:702, OptionBuilder:46, OptionBuilder:58, OptionBuilder:63, OptionBuilder:64, OptionBuilder:79, OptionBuilder:80, OptionBuilder:81, OptionBuilder:82, OptionBuilder:83, OptionBuilder:84, OptionBuilder:85, OptionBuilder:86, OptionBuilder:87, OptionBuilder:97, OptionBuilder:99, OptionBuilder:109, OptionBuilder:111, OptionBuilder:123, OptionBuilder:125, OptionBuilder:136, OptionBuilder:138, OptionBuilder:148, OptionBuilder:150, OptionBuilder:173, OptionBuilder:175, OptionBuilder:196, OptionBuilder:198, OptionBuilder:210, OptionBuilder:212, OptionBuilder:222, OptionBuilder:224, OptionBuilder:235, OptionBuilder:237, OptionBuilder:247, OptionBuilder:248, OptionBuilder:250, OptionBuilder:260, OptionBuilder:261, OptionBuilder:263, OptionBuilder:275, OptionBuilder:276, OptionBuilder:278, OptionBuilder:290, OptionBuilder:292, OptionBuilder:303, OptionBuilder:305, OptionBuilder:319, OptionBuilder:330, OptionBuilder:332, OptionBuilder:333, OptionBuilder:336, OptionBuilder:351, OptionBuilder:355, OptionBuilder:358, OptionBuilder:359, OptionBuilder:360, OptionBuilder:361, OptionBuilder:362, OptionBuilder:363, OptionBuilder:364, OptionBuilder:369, OptionBuilder:373, 
Option_ESTest::test00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Option_ESTest::test01, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Option_ESTest::test02, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Option_ESTest::test03, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Option_ESTest::test04, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Option_ESTest::test05, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Option_ESTest::test06, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Option_ESTest::test07, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Option_ESTest::test08, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Option_ESTest::test09, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
