Class::Test,HelpFormatter:347, HelpFormatter:503, HelpFormatter:508, HelpFormatter:517, HelpFormatter:524, HelpFormatter:552, HelpFormatter:561, HelpFormatter:564, HelpFormatter:584, HelpFormatter:605, HelpFormatter:613, HelpFormatter:618, HelpFormatter:624, HelpFormatter:639, HelpFormatter:644, HelpFormatter:654, HelpFormatter:656, HelpFormatter:657, HelpFormatter:661, HelpFormatter:764, HelpFormatter:769, HelpFormatter:777, HelpFormatter:783, HelpFormatter:786, HelpFormatter:793, HelpFormatter:794, HelpFormatter:799, HelpFormatter:804, HelpFormatter:809, HelpFormatter:818, HelpFormatter:825, HelpFormatter:850, HelpFormatter:858, HelpFormatter:872, HelpFormatter:879, HelpFormatter:907, HelpFormatter:908, HelpFormatter:912, HelpFormatter:923, HelpFormatter:930, HelpFormatter:938, HelpFormatter:965, HelpFormatter:972, 
HelpFormatterTest::testFindWrapPos, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,1,0.5,0,0,
HelpFormatterTest::testRenderWrappedTextWordCut, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,
HelpFormatterTest::testRenderWrappedTextSingleLine, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0,0.5,0.5,
HelpFormatterTest::testRenderWrappedTextSingleLinePadded, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0,0.5,0.5,
HelpFormatterTest::testRenderWrappedTextSingleLinePadded2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.5,
HelpFormatterTest::testRenderWrappedTextMultiLine, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testRenderWrappedTextMultiLinePadded, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testPrintOptions, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,1,1,1,0.5,1,1,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0,0.5,0.5,
HelpFormatterTest::testPrintHelpWithEmptySyntax, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HelpFormatterTest::testAutomaticUsage, 0,0,0,0,0,1,0.5,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testPrintUsage, 0,0,0,0,0,1,0.5,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testPrintSortedUsage, 0.5,0,0,0,0,1,0.5,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testPrintSortedUsageWithNullComparator, 0.5,0,0,0,0,1,0.5,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testPrintOptionGroupUsage, 0,0,0,0,0,1,0.5,1,1,0.5,1,1,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testPrintRequiredOptionGroupUsage, 0,0,0,0,0,1,0.5,1,1,0.5,1,1,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testPrintOptionWithEmptyArgNameUsage, 0,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testDefaultArgName, 0,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testRtrim, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,
HelpFormatterTest::testAccessors, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HelpFormatterTest::testHeaderStartingWithLineSeparator, 0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,1,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0.5,1,
HelpFormatterTest::testOptionWithoutShortFormat, 0,0.5,0.5,0.5,0.5,1,0.5,0,1,0,0,0,0,0.5,1,0.5,0,0,0.5,1,1,1,0.5,0,0,0,1,1,1,0.5,1,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testOptionWithoutShortFormat2, 0,0.5,0.5,0.5,0.5,1,0.5,0,1,0,0,0,0,0.5,1,0.5,1,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,1,1,1,0.5,1,1,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0,0.5,0.5,
HelpFormatterTest::testHelpWithLongOptSeparator, 0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
HelpFormatterTest::testUsageWithLongOptSeparator, 0,0,0,0,0,1,0.5,0,1,0,0,0,0,0.5,1,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,
RegressionTest1::test0501, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,
RegressionTest1::test0502, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0503, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0504, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0505, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0506, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0507, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,
RegressionTest1::test0508, 0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0509, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0510, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0511, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0512, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test0513, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,
RegressionTest1::test0514, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
