test_case,covered_branches
"RegressionTest1::test0946",46
"RegressionTest3::test1665",45
"RegressionTest3::test1697",45
"RegressionTest3::test1851",45
"RegressionTest1::test0578",45
"RegressionTest1::test0671",45
"RegressionTest1::test0828",45
"RegressionTest0::test0292",45
"RegressionTest0::test0300",45
"RegressionTest0::test0331",45
"RegressionTest0::test0412",45
"RegressionTest1::test0574",44
"RegressionTest1::test0969",44
"RegressionTest2::test1109",44
"RegressionTest2::test1379",44
"RegressionTest3::test1684",43
"RegressionTest3::test1727",43
"RegressionTest3::test1802",43
"RegressionTest3::test1857",43
"RegressionTest3::test1860",43
"RegressionTest1::test0764",43
"RegressionTest2::test1066",43
"RegressionTest2::test1438",43
"RegressionTest0::test0276",43
"RegressionTest3::test1564",42
"RegressionTest3::test1647",42
"RegressionTest3::test1806",42
"RegressionTest3::test1952",42
"RegressionTest3::test1983",42
"RegressionTest1::test0522",42
"RegressionTest1::test0583",42
"RegressionTest1::test0799",42
"RegressionTest2::test1178",42
"RegressionTest2::test1210",42
"RegressionTest2::test1406",42
"RegressionTest0::test0256",42
"RegressionTest3::test1543",41
"RegressionTest3::test1632",41
"RegressionTest3::test1777",41
"RegressionTest3::test1972",41
"RegressionTest3::test1992",41
"HelpFormatterTest::testOptionWithoutShortFormat2",41
"RegressionTest1::test0536",41
"RegressionTest1::test0832",41
"RegressionTest1::test0941",41
"RegressionTest2::test1078",41
"RegressionTest2::test1114",41
"RegressionTest2::test1175",41
"RegressionTest2::test1220",41
"RegressionTest2::test1238",41
"RegressionTest2::test1246",41
"RegressionTest2::test1269",41
"RegressionTest2::test1395",41
"RegressionTest2::test1496",41
"RegressionTest0::test0417",41
"RegressionTest0::test0456",41
"RegressionTest3::test1565",40
"RegressionTest3::test1829",40
"RegressionTest3::test1973",40
"RegressionTest3::test1988",40
"RegressionTest3::test1994",40
"RegressionTest3::test1996",40
"RegressionTest1::test0796",40
"RegressionTest2::test1343",40
"RegressionTest2::test1441",40
"RegressionTest3::test1617",39
"RegressionTest3::test1750",39
"RegressionTest3::test1960",39
"RegressionTest2::test1103",39
"RegressionTest2::test1262",39
"RegressionTest2::test1267",39
"RegressionTest2::test1287",39
"RegressionTest2::test1392",39
"RegressionTest0::test0444",39
"RegressionTest0::test0219",38
"RegressionTest0::test0224",38
"RegressionTest3::test1506",37
"RegressionTest3::test1641",37
"RegressionTest3::test1752",37
"RegressionTest3::test1759",37
"RegressionTest3::test1842",37
"RegressionTest3::test1899",37
"RegressionTest3::test1993",37
"RegressionTest1::test0557",37
"RegressionTest1::test0588",37
"RegressionTest1::test0600",37
"RegressionTest1::test0615",37
"RegressionTest1::test0696",37
"RegressionTest1::test0815",37
"RegressionTest1::test0888",37
"RegressionTest1::test0896",37
"RegressionTest1::test0929",37
"RegressionTest1::test0938",37
"RegressionTest1::test0945",37
"RegressionTest1::test0955",37
"RegressionTest1::test0956",37
"RegressionTest2::test1074",37
"RegressionTest2::test1097",37
"RegressionTest2::test1209",37
"RegressionTest2::test1261",37
"RegressionTest2::test1450",37
"RegressionTest2::test1460",37
"RegressionTest0::test0295",37
"RegressionTest0::test0325",37
"RegressionTest0::test0378",37
"RegressionTest0::test0396",37
"RegressionTest0::test0461",37
"RegressionTest3::test1567",36
"RegressionTest3::test1619",36
"RegressionTest3::test1897",36
"RegressionTest3::test1970",36
"RegressionTest3::test1978",36
"RegressionTest1::test0842",36
"RegressionTest1::test0867",36
"RegressionTest0::test0395",36
"RegressionTest3::test1520",35
"RegressionTest3::test1535",35
"RegressionTest3::test1898",35
"RegressionTest3::test1922",35
"RegressionTest1::test0502",35
"RegressionTest1::test0512",35
"RegressionTest1::test0591",35
"RegressionTest1::test0598",35
"RegressionTest1::test0651",35
"RegressionTest1::test0814",35
"RegressionTest1::test0958",35
"RegressionTest2::test1008",35
"RegressionTest2::test1037",35
"RegressionTest2::test1156",35
"RegressionTest2::test1157",35
"RegressionTest2::test1188",35
"RegressionTest2::test1259",35
"RegressionTest2::test1266",35
"RegressionTest2::test1470",35
"RegressionTest0::test0247",35
"RegressionTest0::test0390",35
"RegressionTest3::test1554",34
"RegressionTest3::test1692",34
"RegressionTest3::test1782",34
